file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity,radius
random_geometric_0.99_2,0.9051246372799999,1.74964,968.754,1725.339484,0.0,0.0,0.9169279363649424,0.9734191153162498,0.99
random_geometric_0.95_9,0.9054940476800001,1.74741,952.246,3229.8094840000003,0.0,0.0,0.8969909817472065,0.960428152815109,0.95
random_geometric_0.17_5,0.9037665218200001,1.75905,77.14,264.55039999999997,0.0,0.0,0.0363902484493556,0.6161886871760951,0.17
random_geometric_0.82_4,0.9047719031199999,1.75522,869.234,12125.139244000002,0.0,0.0,0.788899710566377,0.9034258505109334,0.82
random_geometric_0.97_4,0.9046929431399998,1.74816,967.662,1911.3797560000005,0.0,0.0,0.9200350738711544,0.9727338345371298,0.97
random_geometric_0.15_8,0.90328153848,1.76243,60.868,181.590576,0.0,0.0,0.0278302665739719,0.613201569621365,0.15
random_geometric_0.19_3,0.90359382536,1.7585,94.662,470.821756,0.0,0.0,0.0499403596622411,0.6197648637353923,0.19
random_geometric_0.91_2,0.9054114994,1.74788,938.012,4730.085856,0.0,0.0,0.8654355455446957,0.9499521006181906,0.91
random_geometric_0.84_2,0.9044842362399999,1.74677,881.034,10465.946844,0.0,0.0,0.8070662586935202,0.9101360055843414,0.84
random_geometric_0.88_9,0.9048578545800001,1.74902,913.978,7134.125516,0.0,0.0,0.8425272126186896,0.9326062713494996,0.88
random_geometric_0.48_7,0.9041802500199999,1.76144,455.326,16807.087724,0.0,0.0,0.36123009136311,0.7081212399886677,0.48
random_geometric_0.06_9,0.89618889222,1.8141,10.632,10.704576,0.0,0.0,0.0025354809025814,0.5950562274559729,0.06
random_geometric_0.13_9,0.9029000324199999,1.75972,49.128,177.00961600000002,0.0,0.0,0.0200137480609364,0.6107320174924314,0.13
random_geometric_0.82_3,0.9050722242600001,1.7508,864.886,12173.123004,0.0,0.0,0.7847838877936694,0.8998714205619875,0.82
random_geometric_0.97_3,0.9053138380200001,1.75237,962.42,2321.3175999999994,0.0,0.0,0.9035703641497106,0.9684445385614672,0.97
random_geometric_0.19_4,0.90401027872,1.75886,93.928,495.938816,0.0,0.0,0.0457519014519235,0.6166259778328969,0.19
random_geometric_0.91_5,0.9053788845400002,1.7498,932.184,5234.772144,0.0,0.0,0.8694957220095101,0.9454702418255948,0.91
random_geometric_0.84_5,0.9037682461400003,1.75561,894.882,9366.842076,0.0,0.0,0.8215704654236341,0.919939640998549,0.84
random_geometric_0.71_8,0.90455867178,1.7563,753.95,20858.7275,0.0,0.0,0.658180682864306,0.8352677137657593,0.71
random_geometric_0.64_8,0.9048752924200001,1.7578,679.954,24686.113884,0.0,0.0,0.6010222476307172,0.7990499235558979,0.64
random_geometric_0.68_3,0.90517772962,1.75842,724.1,22684.464,0.0,0.0,0.6376932539739931,0.8197014711694971,0.68
random_geometric_0.3_6,0.90549766528,1.75488,220.558,3815.640636,0.0,0.0,0.1358286081723657,0.6453394747266482,0.3
random_geometric_0.39_7,0.9040503117199998,1.76034,335.54,9082.6244,0.0,0.0,0.2388472613659056,0.6751807503930303,0.39
random_geometric_0.62_9,0.9050973262400002,1.7602,664.696,23752.413584,0.0,0.0,0.5637079719184602,0.7911184629043879,0.62
random_geometric_0.77_9,0.9046249140799999,1.75551,816.82,17112.5996,0.0,0.0,0.7287818192915717,0.8718962774111926,0.77
random_geometric_0.5_7,0.90449787338,1.76141,482.334,17917.696443999997,0.0,0.0,0.3855758709707356,0.7193497638469387,0.5
random_geometric_0.27_10,0.9049349165800001,1.75457,181.452,2275.507696,0.0,0.0,0.1052314773014035,0.6402928774086576,0.27
random_geometric_0.68_4,0.9047915608600001,1.76099,712.078,22625.559916,0.0,0.0,0.6321920934844585,0.8136411094073341,0.68
random_geometric_0.81_10,0.9045503066399999,1.75855,870.006,12022.345964,0.0,0.0,0.7908235063553314,0.9037907057545478,0.81
random_geometric_0.3_1,0.90410538618,1.75437,214.71,3037.0418999999997,0.0,0.0,0.1369297361815956,0.6484414724644478,0.3
random_geometric_0.74_5,0.9046800822399997,1.75602,779.028,19734.005216,0.0,0.0,0.6976458989299151,0.8493258021725509,0.74
random_geometric_0.61_5,0.9041854989600001,1.76601,627.012,23435.175856,0.0,0.0,0.5308472862863398,0.7733187147950544,0.61
random_geometric_0.52_10,0.90451001992,1.76372,518.708,20712.874736,0.0,0.0,0.42260195434796,0.7301172268530991,0.52
random_geometric_0.67_3,0.9043525180800001,1.75826,680.756,23292.880464,0.0,0.0,0.5911972960641256,0.7979322544852073,0.67
random_geometric_0.72_3,0.9050226926,1.7556,778.886,19875.641004,0.0,0.0,0.6971710887433864,0.849669035175835,0.72
random_geometric_0.25_6,0.9049144384999999,1.75354,153.508,1304.695936,0.0,0.0,0.0806826630732273,0.6341633444454812,0.25
random_geometric_0.23_7,0.9044809530600002,1.75805,135.47,973.3691,0.0,0.0,0.0742633353350325,0.63363373253389,0.23
random_geometric_0.36_7,0.9037261278,1.75952,291.514,6561.161803999999,0.0,0.0,0.1916294334884294,0.6654040994603182,0.36
random_geometric_0.78_9,0.9046660263399999,1.75359,844.704,14210.962384,0.0,0.0,0.7471113034283692,0.8876368945419453,0.78
random_geometric_0.74_2,0.90486494068,1.75579,788.586,19360.576604,0.0,0.0,0.6996668632476593,0.8553541646306312,0.74
random_geometric_0.61_2,0.9047478119000001,1.76149,640.6,24146.708,0.0,0.0,0.5569071190434358,0.7792576953387357,0.61
random_geometric_0.25_1,0.90532825286,1.75484,154.884,1405.184544,0.0,0.0,0.0831260645934386,0.6350542093906207,0.25
random_geometric_0.67_4,0.9046704986000003,1.75606,707.424,23106.900224,0.0,0.0,0.6175596211497543,0.8111596338847051,0.67
random_geometric_0.72_4,0.90474633462,1.75402,770.918,20453.999276,0.0,0.0,0.6917955583816544,0.8455167069012401,0.72
random_geometric_0.98_4,0.9047658128799999,1.75225,967.712,1801.523056,0.0,0.0,0.9188693884807088,0.972548354794875,0.98
random_geometric_0.05_5,0.8917419801800001,1.85486,7.596,8.376783999999999,0.0,0.0,0.0011277502828654,0.5906634746922025,0.05
random_geometric_0.15_10,0.9035354739399999,1.75882,62.272,230.566016,0.0,0.0,0.0266749731401357,0.6113315156140635,0.15
random_geometric_0.87_9,0.9050956694400001,1.75025,906.83,7883.3991,0.0,0.0,0.8315670009400323,0.9276042765097878,0.87
random_geometric_0.92_9,0.9039247159800002,1.75164,934.484,4928.253744,0.0,0.0,0.872850767900374,0.9469762715824066,0.92
random_geometric_0.16_3,0.90410157306,1.75675,68.45,200.9935,0.0,0.0,0.031466485459419,0.6146905756104365,0.16
random_geometric_0.54_6,0.9039909854799999,1.76157,525.73,20993.9671,0.0,0.0,0.4204098278818132,0.7335497202101177,0.54
random_geometric_0.41_6,0.9054719064399999,1.75043,353.784,8502.881344000001,0.0,0.0,0.243849361240746,0.684172169188156,0.41
random_geometric_0.28_10,0.9038958833400002,1.75733,193.402,2368.7603959999997,0.0,0.0,0.1078406577540375,0.6465618782480672,0.28
random_geometric_0.98_3,0.9056502778200001,1.74526,968.518,1808.261676,0.0,0.0,0.9207841201272036,0.973359142743626,0.98
random_geometric_0.94_8,0.9048504097799999,1.7475,952.63,3197.7471000000005,0.0,0.0,0.8962299684489354,0.9607383589703268,0.94
random_geometric_0.81_8,0.90551789522,1.75034,863.866,12436.248044,0.0,0.0,0.7872446759821511,0.8996214895056145,0.81
random_geometric_0.47_7,0.90537693488,1.76111,445.376,16191.690624,0.0,0.0,0.3494492244460059,0.7066008340089486,0.47
random_geometric_0.52_7,0.90463789074,1.75955,504.674,19203.007724,0.0,0.0,0.4038847477890364,0.7257309427728125,0.52
random_geometric_0.09_9,0.9011450991999999,1.77544,23.796,41.790384,0.0,0.0,0.008440320932343,0.6046377883213178,0.09
random_geometric_0.05_2,0.8898304383799999,1.85509,7.474,8.129324,0.0,0.0,0.0013163355482638,0.5927171066600608,0.05
random_geometric_0.54_1,0.9049237243999999,1.75754,532.016,20847.761744,0.0,0.0,0.4239137253141739,0.7352685684252243,0.54
random_geometric_0.41_1,0.9043235212599999,1.76092,353.602,9820.741596000002,0.0,0.0,0.2388327562653834,0.6827910650879365,0.41
random_geometric_0.16_4,0.90427413172,1.75428,70.184,254.47414399999997,0.0,0.0,0.0350645137601197,0.6140846217009348,0.16
random_geometric_0.83_5,0.9047585077599999,1.75096,866.218,12271.446476,0.0,0.0,0.7835337258038844,0.9011668109059509,0.83
random_geometric_0.96_5,0.9045675712000001,1.75292,962.776,2365.667824,0.0,0.0,0.9081505081679768,0.9688865287683156,0.96
random_geometric_0.49_1,0.90508339894,1.75589,460.876,16236.206624,0.0,0.0,0.3660515332181305,0.7113734615143951,0.49
random_geometric_0.85_3,0.90467369972,1.75255,887.66,9597.9064,0.0,0.0,0.8020544618479658,0.9141848726485864,0.85
random_geometric_0.89_8,0.9053128037199999,1.74743,923.758,6243.577436,0.0,0.0,0.8550214279489766,0.9396947223100665,0.89
random_geometric_0.14_9,0.9044853245200002,1.75759,54.912,161.424256,0.0,0.0,0.0216706424333283,0.6161789201240294,0.14
random_geometric_0.18_2,0.90399943106,1.76074,84.91,351.0179,0.0,0.0,0.0421697996015817,0.6187551967571165,0.18
random_geometric_0.97_10,0.9048085182799999,1.74695,962.39,2204.3319,0.0,0.0,0.9072105345206224,0.9681625863716588,0.97
random_geometric_0.83_2,0.9054737442199999,1.74759,878.108,11401.804336,0.0,0.0,0.8051201477730431,0.909346617595262,0.83
random_geometric_0.96_2,0.9053885412800002,1.75103,963.95,2240.5875,0.0,0.0,0.9133773816185772,0.9697698460306736,0.96
random_geometric_0.49_6,0.90478208874,1.76134,466.138,16534.456956,0.0,0.0,0.3679359269687531,0.7122495822358434,0.49
random_geometric_0.07_8,0.8984885076999999,1.79552,14.32,15.747599999999998,0.0,0.0,0.0044875762073865,0.5923870405346506,0.07
random_geometric_0.12_8,0.90233693262,1.76632,41.836,107.243104,0.0,0.0,0.0160138903571448,0.6095443084545658,0.12
random_geometric_0.31_10,0.9046731854600001,1.75079,225.06,3596.0584000000003,0.0,0.0,0.1472300785040624,0.6480018640948535,0.31
random_geometric_0.85_4,0.90489460682,1.75346,889.79,9860.9399,0.0,0.0,0.8159116032281098,0.9165124921088478,0.85
random_geometric_0.18_5,0.9035107624799998,1.76385,85.338,307.0657560000001,0.0,0.0,0.0387524004690358,0.6241028146255307,0.18
random_geometric_0.4_1,0.9051289496199999,1.74911,336.51,8595.3279,0.0,0.0,0.2165072958943869,0.6838930858648155,0.4
random_geometric_0.38_1,0.90417918714,1.75804,321.07,8427.3311,0.0,0.0,0.2131505890268421,0.6744196441250567,0.38
random_geometric_0.2_7,0.9037609031400001,1.75914,105.208,693.480736,0.0,0.0,0.0520984483499883,0.6203884774430737,0.2
random_geometric_0.65_9,0.9052796541999999,1.75767,689.166,23425.754444,0.0,0.0,0.60354070858138,0.8016739956331213,0.65
random_geometric_0.69_2,0.9049184956600002,1.75456,739.114,21284.059004,0.0,0.0,0.6482814066646447,0.8272211683675895,0.69
random_geometric_0.4_6,0.9041819096199998,1.7581,340.784,8862.291344000001,0.0,0.0,0.2406292729574397,0.6758853189663696,0.4
random_geometric_0.38_6,0.9042133121199999,1.75676,325.488,9238.109856,0.0,0.0,0.2423605291653759,0.6712007464015952,0.38
random_geometric_0.63_8,0.9045624290399998,1.75908,673.02,24118.8656,0.0,0.0,0.5882990254936208,0.7950570653426167,0.63
random_geometric_0.76_8,0.9050472704199999,1.75466,813.788,17176.233056,0.0,0.0,0.7311432388526269,0.8693477287510024,0.76
random_geometric_0.69_5,0.9050714950999998,1.75741,745.806,21991.966364,0.0,0.0,0.6575303575080496,0.8321459670607834,0.69
random_geometric_0.76_10,0.9047378388799999,1.75234,810.636,17703.791504,0.0,0.0,0.7229494335275805,0.8679743631635128,0.76
