file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity,connections
line_434,0.23774322352000002,19.55834,2.866,0.120044,0,0.0,1.4384291683081966e-05,0,434
line_461,0.25341122918,16.69219,2.92,0.0776,0,0.0,1.3884182626505555e-05,0,461
line_310,0.20571897601999997,28.59426,2.618,0.2400759999999999,0,0.0,1.612562191099388e-05,0,310
line_345,0.21137834314,26.43116,2.688,0.2186559999999999,0,0.0,1.5799186413761518e-05,0,345
line_235,0.19519410578,32.55576,2.468,0.252976,0,0.0,1.6337014913582152e-05,0,235
line_260,0.19857337483999998,31.30723,2.518,0.253676,0,0.0,1.6320679196299564e-05,0,260
line_25,0.17881152274,39.87089,2.048,0.049696,0,0.0,5.482545018076475e-06,0,25
line_70,0.18182241305999997,38.89715,2.138,0.122956,0,0.0,6.691968966476414e-06,0,70
line_433,0.23703663485999998,19.66316,2.864,0.1215039999999999,0,0.0,1.440269187870483e-05,0,433
line_466,0.25562086997999994,16.10679,2.93,0.0691,0,0.0,1.37917569614415e-05,0,466
line_317,0.20609879267999998,28.21246,2.632,0.2365759999999999,0,0.0,1.6073726260007574e-05,0,317
line_342,0.21096962788,26.63566,2.682,0.220876,0,0.0,1.5833628321535615e-05,0,342
line_148,0.18775143406,36.31178,2.294,0.211564,0,0.0,9.992853017461591e-06,0,148
line_302,0.20387236534,29.03691,2.602,0.2435959999999999,0,0.0,1.6176821861396093e-05,0,302
line_357,0.21400881494000001,25.64863,2.712,0.209056,0,0.0,1.5650088686265557e-05,0,357
line_426,0.23486835675999995,20.27986,2.85,0.1315,0,0.0,1.4530886010296812e-05,0,426
line_473,0.26189383358000007,15.21704,2.944,0.056864,0,0.0,1.366295230886199e-05,0,473
line_220,0.19393638306,33.28377,2.438,0.250156,0,0.0,1.580743588622639e-05,0,220
line_275,0.20057112117999998,30.55441,2.548,0.251696,0,0.0,1.6290577138343604e-05,0,275
line_30,0.17817892182,39.79556,2.058,0.0586359999999999,0,0.0,5.599974516799928e-06,0,30
line_65,0.18168971122,39.04444,2.128,0.115616,0,0.0,6.538792945377942e-06,0,65
line_305,0.20396103965999998,28.87825,2.608,0.242336,0,0.0,1.6158621648318756e-05,0,305
line_350,0.21241960821999994,26.13816,2.698,0.214796,0,0.0,1.5739226088396095e-05,0,350
line_421,0.23212711010000003,20.74367,2.84,0.1383999999999999,0,0.0,1.4621645738349818e-05,0,421
line_474,0.26234589898,15.07405,2.946,0.0550839999999999,0,0.0,1.3644621822194049e-05,0,474
line_227,0.19488235636,32.94629,2.452,0.251696,0,0.0,1.6337514808136353e-05,0,227
line_272,0.20010689088000003,30.70048,2.542,0.252236,0,0.0,1.6298223626634485e-05,0,272
line_37,0.17902614571999997,39.66073,2.072,0.0708159999999999,0,0.0,5.770819754150718e-06,0,37
line_62,0.18118616048,39.10539,2.122,0.111116,0,0.0,6.449398343148366e-06,0,62
line_195,0.19179740897999997,34.37644,2.388,0.241456,0,0.0,1.331730796086707e-05,0,195
line_192,0.19152646148000002,34.52492,2.382,0.2400759999999999,0,0.0,1.3058614019730888e-05,0,192
line_138,0.1864667659,36.69871,2.274,0.2029239999999999,0,0.0,9.447446326308124e-06,0,138
line_372,0.21809022202,24.61208,2.742,0.1954359999999999,0,0.0,1.544017860201464e-05,0,372
line_327,0.20845945402000002,27.56913,2.652,0.230896,0,0.0,1.5987914734028498e-05,0,327
line_456,0.24953210572,17.27741,2.91,0.0858999999999999,0,0.0,1.397684042363548e-05,0,456
line_403,0.22648219047999998,22.28128,2.804,0.161584,0,0.0,1.4940177950983096e-05,0,403
line_250,0.19730295198000003,31.81716,2.498,0.253996,0,0.0,1.6331084629831558e-05,0,250
line_205,0.19244108974,33.97172,2.408,0.245536,0,0.0,1.4237487437065169e-05,0,205
line_40,0.17933697762000003,39.61001,2.078,0.0759159999999999,0,0.0,5.846441253545738e-06,0,40
line_15,0.17832783381999998,39.97009,2.028,0.0312159999999999,0,0.0,5.258501840373276e-06,0,15
line_375,0.21810289762000004,24.3874,2.748,0.192496,0,0.0,1.5395361871081166e-05,0,375
line_320,0.20713167614000003,27.99348,2.638,0.234956,0,0.0,1.6049428506975842e-05,0,320
line_451,0.24692843804000003,17.81272,2.9,0.0939999999999999,0,0.0,1.4069617512649634e-05,0,451
line_404,0.22653585504,22.1942,2.806,0.160364,0,0.0,1.4922900989124609e-05,0,404
line_257,0.19864220803999996,31.45936,2.512,0.253856,0,0.0,1.6324496109044354e-05,0,257
line_202,0.19174425144,34.08328,2.402,0.244396,0,0.0,1.3951665217901557e-05,0,202
line_47,0.17976022821999998,39.4679,2.092,0.087536,0,0.0,6.028778945571521e-06,0,47
line_12,0.17741954338,39.99625,2.022,0.0255159999999999,0,0.0,5.193963330705168e-06,0,12
line_187,0.19080196553999998,34.73155,2.372,0.237616,0,0.0,1.26439058978172e-05,0,187
line_178,0.19019447524,35.10035,2.354,0.2326839999999999,0,0.0,1.1945627444094651e-05,0,178
line_180,0.19078616314000002,35.00261,2.358,0.2338359999999999,0,0.0,1.2095712378958547e-05,0,180
line_9,0.17691911851999997,40.00511,2.016,0.019744,0,0.0,5.130605708944006e-06,0,9
line_242,0.19637128050000008,32.20557,2.482,0.253676,0,0.0,1.633535134836407e-05,0,242
line_217,0.19394258068,33.41281,2.432,0.249376,0,0.0,1.547332865445564e-05,0,217
line_52,0.18019590081999998,39.37135,2.102,0.095596,0,0.0,6.164293552296964e-06,0,52
line_444,0.24322749194,18.55193,2.886,0.105004,0,0.0,1.4199477289642116e-05,0,444
line_411,0.22797690898,21.63406,2.82,0.1516,0,0.0,1.4800455536428497e-05,0,411
line_360,0.21509642578000002,25.45885,2.718,0.206476,0,0.0,1.5610103516488866e-05,0,360
line_335,0.20970426659999997,27.07138,2.668,0.2257759999999999,0,0.0,1.59093955283471e-05,0,335
line_245,0.19743958486000004,32.05954,2.488,0.253856,0,0.0,1.6334098704924693e-05,0,245
line_210,0.19285561594,33.74002,2.418,0.247276,0,0.0,1.473376054672562e-05,0,210
line_55,0.18013714179999998,39.30172,2.108,0.1003359999999999,0,0.0,6.247807073344589e-06,0,55
line_443,0.24285391470000003,18.65691,2.884,0.1065439999999999,0,0.0,1.4218008541490798e-05,0,443
line_416,0.23080433598,21.19737,2.83,0.1451,0,0.0,1.4711555997901868e-05,0,416
