file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity
d13_8,0.36202294384,8.81604,13.0,0.0,0.0,0.0,0.4739189942401679,0.0098461538461538
d48_6,0.37543496627999995,8.55414,48.0,0.0,0.0,0.0,0.72293233432049,0.0456170212765957
d82_2,0.37663955494,8.51627,82.0,0.0,0.0,0.0,0.7894154649719257,0.0801680216802168
d97_2,0.37807224274,8.51654,97.0,0.0,0.0,0.0,0.8106650425660129,0.0951069587628865
d19_5,0.36766864026,8.68289,19.0,0.0,0.0,0.0,0.5617515147269062,0.0174561403508771
d91_4,0.37636986961999996,8.53227,91.0,0.0,0.0,0.0,0.8044879037349024,0.0890271062271062
d84_4,0.3773588646,8.50669,84.0,0.0,0.0,0.0,0.7940939208940263,0.0821987951807228
d100_8,0.37737466759999994,8.50426,100.0,0.0,0.0,0.0,0.8148015470321579,0.098380606060606
d48_1,0.37536632490000005,8.55217,48.0,0.0,0.0,0.0,0.7249714156003259,0.046095744680851
d82_5,0.37711712858000007,8.53436,82.0,0.0,0.0,0.0,0.7900720386087137,0.0810361336946702
d97_5,0.37740829761999994,8.51178,97.0,0.0,0.0,0.0,0.8097618815717417,0.0951449742268041
d19_2,0.367979067,8.67191,19.0,0.0,0.0,0.0,0.5646724446152399,0.016859649122807
d15_9,0.36430410378,8.75905,15.0,0.0,0.0,0.0,0.5102252912256474,0.0121142857142857
d88_8,0.37681238846,8.52483,88.0,0.0,0.0,0.0,0.802062545465696,0.0859521943573667
d91_3,0.3768901746,8.51875,91.0,0.0,0.0,0.0,0.8035846663092211,0.0892153846153846
d84_3,0.3767761215,8.53896,84.0,0.0,0.0,0.0,0.7973521001965246,0.0823752151462994
d7_1,0.34658330433999995,9.0922,7.0,0.0,0.0,0.0,0.3043980777755591,0.0057142857142857
d62_8,0.37666709023999995,8.52085,62.0,0.0,0.0,0.0,0.7576376220568002,0.0600063458487572
d77_8,0.37616977476,8.52546,77.0,0.0,0.0,0.0,0.7849701292518177,0.0749231032125768
d39_6,0.3731575388600001,8.58929,39.0,0.0,0.0,0.0,0.6914739482726976,0.0370728744939271
d68_5,0.3768387113199999,8.52892,68.0,0.0,0.0,0.0,0.7699807003648047,0.0659302019315188
d7_6,0.34523136947999994,9.0863,7.0,0.0,0.0,0.0,0.3069936301511468,0.0041428571428571
